player_id,first_name,last_name,full_name,team_abbreviation
1630526,Jeremiah,Robinson-Earl,Jeremiah Robinson-Earl,IND
1629655,Daniel,Gafford,Daniel Gafford,DAL
1626172,Kevon,Looney,Kevon Looney,NOP
200768,Kyle,Lowry,Kyle Lowry,PHI
1641780,Johni,Broome,Johni Broome,PHI
1642354,KJ,Simpson,KJ Simpson,CHA
201567,Kevin,Love,Kevin Love,UTA
1642359,Pacôme,Dadiet,Pacôme Dadiet,NYK
1628975,Jevon,Carter,Jevon Carter,CHI
1642886,Koby,Brea,Koby Brea,PHX
1642874,Danny,Wolf,Danny Wolf,BKN
1631103,Malaki,Branham,Malaki Branham,WAS
1629646,Charles,Bassey,Charles Bassey,MEM
1642272,Jared,McCain,Jared McCain,PHI
1641772,Nae'Qwan,Tomlin,Nae'Qwan Tomlin,CLE
1629636,Darius,Garland,Darius Garland,CLE
1628998,Cody,Martin,Cody Martin,IND
1630173,Precious,Achiuwa,Precious Achiuwa,SAC
1630322,Lindy,Waters III,Lindy Waters III,SAS
1631110,Jeremy,Sochan,Jeremy Sochan,SAS
203482,Kelly,Olynyk,Kelly Olynyk,SAS
1630224,Jalen,Green,Jalen Green,PHX
1642268,Isaiah,Collier,Isaiah Collier,UTA
1628467,Maxi,Kleber,Maxi Kleber,LAL
1628368,De'Aaron,Fox,De'Aaron Fox,SAS
1628420,Monte,Morris,Monte Morris,IND
204456,T.J.,McConnell,T.J. McConnell,IND
1631111,Wendell,Moore Jr.,Wendell Moore Jr.,DET
1631250,Pete,Nance,Pete Nance,MIL
203926,Doug,McDermott,Doug McDermott,SAC
1631342,Daeqwon,Plowden,Daeqwon Plowden,SAC
1641757,Jordan,Miller,Jordan Miller,LAC
202066,Garrett,Temple,Garrett Temple,TOR
1631288,Jamal,Cain,Jamal Cain,ORL
1641810,Antonio,Reeves,Antonio Reeves,CHA
1641744,Zach,Edey,Zach Edey,MEM
1642876,Adou,Thiero,Adou Thiero,LAL
1629632,Coby,White,Coby White,CHI
1642403,Isaac,Jones,Isaac Jones,DET
202331,Paul,George,Paul George,PHI
1641809,Drew,Peterson,Drew Peterson,CHA
2544,LeBron,James,LeBron James,LAL
1631123,Jamaree,Bouyea,Jamaree Bouyea,PHX
1631451,Javonte,Cooke,Javonte Cooke,POR
1642942,Jahmai,Mashack,Jahmai Mashack,MEM
1631099,Keegan,Murray,Keegan Murray,SAC
1629726,Garrison,Mathews,Garrison Mathews,IND
1631093,Jaden,Ivey,Jaden Ivey,DET
1642855,Noa,Essengue,Noa Essengue,CHI
1641753,Chris,Livingston,Chris Livingston,CLE
1641787,Tosan,Evbuomwan,Tosan Evbuomwan,NYK
1629639,Tyler,Herro,Tyler Herro,MIA
1642384,Isaiah,Crawford,Isaiah Crawford,HOU
1631166,Drew,Timme,Drew Timme,LAL
1629026,Kenrich,Williams,Kenrich Williams,OKC
1631114,Jalen,Williams,Jalen Williams,OKC
1642950,Lachlan,Olbrich,Lachlan Olbrich,CHI
1641801,Emanuel,Miller,Emanuel Miller,CHI
1642938,Curtis,Jones,Curtis Jones,DEN
1642935,Chucky,Hepburn,Chucky Hepburn,TOR
1641725,Trey,Alexander,Trey Alexander,NOP
1630679,Ethan,Thompson,Ethan Thompson,IND
1642857,Kasparas,Jakučionis,Kasparas Jakučionis,MIA
203552,Seth,Curry,Seth Curry,GSW
1642280,Trentyn,Flowers,Trentyn Flowers,CHI
1629001,De'Anthony,Melton,De'Anthony Melton,GSW
1628380,Zach,Collins,Zach Collins,CHI
1631204,Marcus,Sasser,Marcus Sasser,DET
1630639,A.J.,Lawson,A.J. Lawson,TOR
1642918,Alijah,Martin,Alijah Martin,TOR
1641755,Kevin,McCullar Jr.,Kevin McCullar Jr.,NYK
1630182,Josh,Green,Josh Green,CHA
1629634,Brandon,Clarke,Brandon Clarke,MEM
1642484,RayJ,Dennis,RayJ Dennis,LAC
1642884,Vladislav,Goldin,Vladislav Goldin,MIA
1642880,Kam,Jones,Kam Jones,IND
1631132,Christian,Koloko,Christian Koloko,MEM
1627827,Dorian,Finney-Smith,Dorian Finney-Smith,HOU
1641790,PJ,Hall,PJ Hall,CHA
1630695,Micah,Potter,Micah Potter,IND
1628964,Mo,Bamba,Mo Bamba,TOR
1631131,Oscar,Tshiebwe,Oscar Tshiebwe,UTA
1629684,Grant,Williams,Grant Williams,CHA
1629021,Moritz,Wagner,Moritz Wagner,ORL
